                     epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    101,                 1.3915,                 1.0409,                 1.1128,                0.53335,                0.41364,                0.43504,                0.26168,                 1.3368,                 1.0001,                 1.0938,               0.006733,               0.006733,               0.006733
                    102,                 1.3874,                 1.0417,                 1.1094,                0.53882,                0.41205,                 0.4348,                0.26162,                 1.3366,                0.99876,                 1.0937,                 0.0067,                 0.0067,                 0.0067
                    103,                 1.3825,                 1.0345,                 1.1076,                0.53859,                0.41331,                0.43436,                0.26189,                 1.3362,                 0.9993,                 1.0933,               0.006667,               0.006667,               0.006667
                    104,                 1.3864,                 1.0361,                 1.1116,                0.53409,                0.41171,                0.43437,                0.26191,                 1.3363,                0.99958,                 1.0933,               0.006634,               0.006634,               0.006634
                    105,                 1.3807,                 1.0339,                 1.1055,                0.53934,                0.41028,                0.43531,                0.26251,                  1.336,                0.99894,                 1.0931,               0.006601,               0.006601,               0.006601
                    106,                 1.3857,                 1.0378,                 1.1116,                0.53423,                0.41454,                0.43497,                0.26254,                 1.3345,                 0.9981,                 1.0924,               0.006568,               0.006568,               0.006568
                    107,                 1.3842,                 1.0299,                 1.1115,                0.52451,                0.42191,                0.43487,                0.26254,                  1.334,                 0.9972,                 1.0923,               0.006535,               0.006535,               0.006535
                    108,                 1.3823,                 1.0313,                 1.1092,                 0.5295,                0.41819,                0.43525,                0.26321,                 1.3334,                0.99603,                 1.0918,               0.006502,               0.006502,               0.006502
                    109,                 1.3797,                 1.0245,                 1.1099,                0.52933,                0.41918,                 0.4357,                0.26308,                 1.3337,                0.99499,                 1.0914,               0.006469,               0.006469,               0.006469
                    110,                  1.372,                 1.0247,                 1.1041,                0.53568,                0.41684,                0.43624,                0.26296,                  1.334,                 0.9947,                 1.0912,               0.006436,               0.006436,               0.006436
                    111,                 1.3831,                 1.0307,                 1.1033,                0.53659,                0.41838,                  0.437,                0.26377,                 1.3333,                0.99413,                 1.0909,               0.006403,               0.006403,               0.006403
                    112,                 1.3669,                 1.0086,                 1.0968,                0.53676,                0.41829,                0.43654,                0.26337,                  1.334,                0.99407,                 1.0912,                0.00637,                0.00637,                0.00637
                    113,                 1.3722,                 1.0179,                 1.1083,                0.53937,                 0.4188,                0.43637,                0.26375,                 1.3333,                 0.9929,                 1.0909,               0.006337,               0.006337,               0.006337
                    114,                 1.3741,                 1.0179,                 1.1033,                0.54086,                0.41697,                0.43671,                0.26407,                 1.3331,                 0.9921,                 1.0909,               0.006304,               0.006304,               0.006304
                    115,                 1.3788,                 1.0249,                 1.1054,                0.53756,                0.41901,                0.43711,                 0.2642,                  1.333,                0.99218,                  1.091,               0.006271,               0.006271,               0.006271
                    116,                 1.3736,                 1.0184,                 1.1048,                0.52987,                0.42365,                0.43698,                0.26396,                 1.3328,                0.99246,                 1.0909,               0.006238,               0.006238,               0.006238
                    117,                 1.3705,                 1.0166,                  1.105,                0.53668,                0.42076,                0.43736,                0.26422,                 1.3323,                0.99106,                 1.0907,               0.006205,               0.006205,               0.006205
                    118,                 1.3675,                 1.0165,                 1.1008,                0.53441,                0.42195,                0.43821,                0.26466,                  1.332,                0.99025,                 1.0906,               0.006172,               0.006172,               0.006172
                    119,                 1.3636,                 1.0111,                 1.1015,                0.53272,                0.42316,                0.43846,                0.26493,                 1.3318,                0.99001,                 1.0906,               0.006139,               0.006139,               0.006139
                    120,                 1.3682,                 1.0147,                 1.1029,                0.52987,                0.42561,                0.43785,                0.26474,                  1.332,                0.98895,                 1.0904,               0.006106,               0.006106,               0.006106
                    121,                   1.37,                 1.0127,                 1.1018,                0.53568,                0.42452,                0.43842,                0.26487,                 1.3312,                 0.9883,                 1.0899,               0.006073,               0.006073,               0.006073
                    122,                 1.3658,                 1.0096,                 1.1012,                0.53623,                0.42335,                0.43835,                0.26496,                 1.3309,                0.98791,                 1.0899,                0.00604,                0.00604,                0.00604
                    123,                 1.3644,                 1.0062,                 1.1009,                0.52952,                0.42635,                0.43828,                0.26499,                 1.3308,                0.98788,                 1.0899,               0.006007,               0.006007,               0.006007
                    124,                 1.3692,                 1.0133,                 1.1011,                0.54068,                0.42272,                 0.4393,                0.26559,                 1.3311,                0.98812,                 1.0899,               0.005974,               0.005974,               0.005974
                    125,                 1.3657,                 1.0062,                 1.1019,                0.53715,                 0.4222,                0.43942,                0.26568,                 1.3306,                0.98777,                 1.0895,               0.005941,               0.005941,               0.005941
                    126,                 1.3674,                 1.0028,                 1.0986,                0.53283,                 0.4264,                0.43947,                0.26592,                 1.3308,                0.98722,                 1.0895,               0.005908,               0.005908,               0.005908
                    127,                 1.3636,                 1.0037,                 1.1022,                0.53415,                0.42434,                 0.4387,                0.26566,                 1.3302,                0.98708,                 1.0891,               0.005875,               0.005875,               0.005875
                    128,                 1.3695,                 1.0103,                 1.1018,                0.53751,                0.42178,                 0.4388,                0.26571,                 1.3302,                0.98688,                 1.0888,               0.005842,               0.005842,               0.005842
                    129,                 1.3639,                 1.0053,                  1.099,                0.53337,                0.42401,                0.43899,                0.26605,                   1.33,                0.98621,                 1.0888,               0.005809,               0.005809,               0.005809
                    130,                 1.3597,                0.99888,                 1.0979,                0.53527,                0.42406,                0.43919,                0.26593,                 1.3297,                0.98602,                 1.0887,               0.005776,               0.005776,               0.005776
                    131,                 1.3648,                 1.0016,                 1.0987,                0.53545,                0.42508,                0.43924,                0.26604,                 1.3293,                0.98545,                 1.0883,               0.005743,               0.005743,               0.005743
                    132,                 1.3568,                0.99623,                 1.0968,                 0.5317,                0.42883,                0.43967,                 0.2666,                 1.3291,                0.98523,                 1.0883,                0.00571,                0.00571,                0.00571
                    133,                 1.3634,                 1.0007,                 1.0965,                0.53436,                0.42428,                0.44023,                0.26672,                 1.3293,                0.98526,                 1.0884,               0.005677,               0.005677,               0.005677
                    134,                 1.3668,                 1.0003,                 1.0989,                0.53684,                0.42205,                0.44048,                0.26694,                 1.3291,                0.98537,                 1.0883,               0.005644,               0.005644,               0.005644
                    135,                 1.3592,                0.99369,                 1.0969,                0.53693,                0.42272,                0.44084,                0.26709,                 1.3291,                0.98487,                 1.0883,               0.005611,               0.005611,               0.005611
                    136,                 1.3583,                0.99535,                  1.099,                0.53466,                0.42482,                0.44093,                0.26699,                 1.3291,                0.98431,                 1.0882,               0.005578,               0.005578,               0.005578
                    137,                 1.3557,                0.99005,                 1.0948,                0.53676,                 0.4242,                0.44109,                0.26691,                  1.329,                0.98393,                 1.0882,               0.005545,               0.005545,               0.005545
                    138,                 1.3513,                0.98772,                 1.0939,                0.53502,                0.42566,                 0.4414,                0.26705,                 1.3296,                0.98389,                 1.0882,               0.005512,               0.005512,               0.005512
                    139,                 1.3558,                0.98875,                  1.094,                0.53444,                0.42541,                 0.4412,                0.26712,                 1.3293,                 0.9836,                 1.0881,               0.005479,               0.005479,               0.005479
                    140,                 1.3516,                0.98958,                 1.0932,                0.53542,                0.42599,                0.44146,                0.26733,                 1.3289,                0.98334,                  1.088,               0.005446,               0.005446,               0.005446
                    141,                  1.357,                0.98792,                 1.0924,                 0.5356,                0.42533,                0.44136,                0.26749,                 1.3287,                0.98315,                 1.0879,               0.005413,               0.005413,               0.005413
                    142,                 1.3492,                0.98283,                 1.0916,                0.53292,                0.42738,                0.44158,                0.26764,                 1.3287,                0.98276,                 1.0878,                0.00538,                0.00538,                0.00538
                    143,                  1.354,                0.98723,                  1.094,                 0.5372,                0.42628,                0.44223,                0.26782,                 1.3288,                0.98229,                 1.0877,               0.005347,               0.005347,               0.005347
                    144,                 1.3524,                0.98647,                 1.0982,                0.53885,                0.42537,                0.44219,                 0.2679,                 1.3288,                0.98159,                 1.0876,               0.005314,               0.005314,               0.005314
                    145,                 1.3529,                0.98079,                 1.0931,                0.53897,                0.42507,                0.44249,                0.26778,                 1.3287,                  0.981,                 1.0875,               0.005281,               0.005281,               0.005281
                    146,                 1.3462,                0.98251,                 1.0935,                0.54066,                0.42437,                0.44234,                0.26786,                 1.3285,                0.98037,                 1.0873,               0.005248,               0.005248,               0.005248
                    147,                 1.3511,                  0.982,                 1.0917,                0.54437,                0.42265,                0.44271,                0.26791,                 1.3286,                0.98027,                 1.0874,               0.005215,               0.005215,               0.005215
                    148,                 1.3427,                 0.9759,                 1.0923,                0.54238,                0.42351,                0.44219,                0.26786,                 1.3282,                0.97992,                 1.0871,               0.005182,               0.005182,               0.005182
                    149,                 1.3489,                0.97942,                 1.0887,                0.54471,                0.42262,                0.44279,                0.26814,                 1.3284,                0.97952,                 1.0872,               0.005149,               0.005149,               0.005149
                    150,                 1.3456,                0.97629,                 1.0905,                0.54329,                0.42375,                0.44293,                 0.2681,                 1.3283,                0.97926,                  1.087,               0.005116,               0.005116,               0.005116
                    151,                 1.3507,                0.97711,                 1.0919,                0.54171,                0.42467,                0.44298,                0.26826,                 1.3283,                0.97928,                  1.087,               0.005083,               0.005083,               0.005083
                    152,                 1.3465,                0.97996,                 1.0893,                0.54171,                 0.4251,                 0.4429,                0.26818,                 1.3285,                0.97896,                 1.0869,                0.00505,                0.00505,                0.00505
                    153,                 1.3419,                 0.9718,                 1.0877,                0.54322,                0.42441,                0.44289,                0.26808,                 1.3287,                0.97918,                 1.0868,               0.005017,               0.005017,               0.005017
